provider_name,Item_name,short_desc,long_desc,Logo_image_url,max_quantity,min_quantity,tag_name_1,code_1,value_1,tag_name_2,code_2,value_2,tag_name_3,code_3,value_3,tag_group_code_1,tag_group_code_2,tag_group_code_3,category name,category code,sku,min_price,max_price,stock_quantity,stock_status,fulfillments,base_price,tax,currency,quantity_unit
eMotion Station,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Compatibility,Material,Warranty","compatibility,material,warranty","Universal,Aluminum,2 years","Compatibility,Material,Warranty","compatibility,material,warranty","Universal,Aluminum,2 years","Compatibility,Material,Warranty","compatibility,material,warranty","Universal,Aluminum,2 years","gen_spec","prod_spec","tech_spec",EVs,ev,POR-5120,223,223,85,in stock,delivery,204,19,USD,unit
eMotion Station,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Color,Warranty,Charging Standard","color,warranty,charging_standard","Black,2 years,CCS","Color,Warranty,Charging Standard","color,warranty,charging_standard","Black,2 years,CCS","Color,Warranty,Charging Standard","color,warranty,charging_standard","Black,2 years,CCS","gen_spec","prod_spec","tech_spec",EVs,ev,EV -1074,428,428,197,in stock,delivery,391,37,USD,unit
eMotion Station,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Material,Compatibility,Voltage","material,compatibility,voltage","Aluminum,Universal,220V","Material,Compatibility,Voltage","material,compatibility,voltage","Aluminum,Universal,220V","Material,Compatibility,Voltage","material,compatibility,voltage","Aluminum,Universal,220V","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-9784,456,456,103,in stock,delivery,416,40,USD,unit
SuperVolt Hub,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Power Output,Color,Charging Standard","power_output,color,charging_standard","50kW,Black,CCS","Power Output,Color,Charging Standard","power_output,color,charging_standard","50kW,Black,CCS","Power Output,Color,Charging Standard","power_output,color,charging_standard","50kW,Black,CCS","gen_spec","prod_spec","tech_spec",EVs,ev,EV -3085,525,525,75,in stock,delivery,479,46,USD,unit
SuperVolt Hub,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Mount Type,Warranty,Voltage","mount_type,warranty,voltage","Wall,2 years,220V","Mount Type,Warranty,Voltage","mount_type,warranty,voltage","Wall,2 years,220V","Mount Type,Warranty,Voltage","mount_type,warranty,voltage","Wall,2 years,220V","gen_spec","prod_spec","tech_spec",EVs,ev,POR-6940,130,130,173,in stock,delivery,119,11,USD,unit
SuperVolt Hub,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Warranty,Voltage,Mount Type","warranty,voltage,mount_type","2 years,220V,Wall","Warranty,Voltage,Mount Type","warranty,voltage,mount_type","2 years,220V,Wall","Warranty,Voltage,Mount Type","warranty,voltage,mount_type","2 years,220V,Wall","gen_spec","prod_spec","tech_spec",EVs,ev,EV -7374,206,206,93,in stock,delivery,188,18,USD,unit
SuperVolt Hub,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Battery Type,Color,Power Output","battery_type,color,power_output","Lithium-ion,Black,50kW","Battery Type,Color,Power Output","battery_type,color,power_output","Lithium-ion,Black,50kW","Battery Type,Color,Power Output","battery_type,color,power_output","Lithium-ion,Black,50kW","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-3064,164,164,151,in stock,delivery,150,14,USD,unit
AmplyPower SF,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Material,Voltage,Charging Standard","material,voltage,charging_standard","Aluminum,220V,CCS","Material,Voltage,Charging Standard","material,voltage,charging_standard","Aluminum,220V,CCS","Material,Voltage,Charging Standard","material,voltage,charging_standard","Aluminum,220V,CCS","gen_spec","prod_spec","tech_spec",EVs,ev,EV -5281,126,126,141,in stock,delivery,115,11,USD,unit
AmplyPower SF,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Connectivity,Color,Mount Type","connectivity,color,mount_type","Bluetooth,Black,Wall","Connectivity,Color,Mount Type","connectivity,color,mount_type","Bluetooth,Black,Wall","Connectivity,Color,Mount Type","connectivity,color,mount_type","Bluetooth,Black,Wall","gen_spec","prod_spec","tech_spec",EVs,ev,POR-3852,389,389,133,in stock,delivery,355,34,USD,unit
AmplyPower SF,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Connectivity,Charging Standard,Voltage","connectivity,charging_standard,voltage","Bluetooth,CCS,220V","Connectivity,Charging Standard,Voltage","connectivity,charging_standard,voltage","Bluetooth,CCS,220V","Connectivity,Charging Standard,Voltage","connectivity,charging_standard,voltage","Bluetooth,CCS,220V","gen_spec","prod_spec","tech_spec",EVs,ev,EV -4664,486,486,118,in stock,delivery,444,42,USD,unit
AmplyPower SF,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Connectivity,Charging Standard,Power Output","connectivity,charging_standard,power_output","Bluetooth,CCS,50kW","Connectivity,Charging Standard,Power Output","connectivity,charging_standard,power_output","Bluetooth,CCS,50kW","Connectivity,Charging Standard,Power Output","connectivity,charging_standard,power_output","Bluetooth,CCS,50kW","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-1897,424,424,187,in stock,delivery,387,37,USD,unit
EcoVolt Solutions,EV Wall Charger,High-speed wall-mounted EV charger,"This EV Wall Charger offers fast and efficient charging for all EV models. Designed for home and commercial use, it supports up to 50kW output and includes built-in surge protection.",https://example.com/items/evwallcharger.png,100,100,"Mount Type,Charging Standard,Material","mount_type,charging_standard,material","Wall,CCS,Aluminum","Mount Type,Charging Standard,Material","mount_type,charging_standard,material","Wall,CCS,Aluminum","Mount Type,Charging Standard,Material","mount_type,charging_standard,material","Wall,CCS,Aluminum","gen_spec","prod_spec","tech_spec",EVs,ev,EV -7585,447,447,160,in stock,delivery,408,39,USD,unit
EcoVolt Solutions,Portable EV Charger,Compact portable charger for emergencies,"The Portable EV Charger is lightweight and fits easily in your trunk. It is compatible with most EVs, delivering safe emergency charging with a standard home socket.",https://example.com/items/portableevcharger.png,100,100,"Compatibility,Mount Type,Connectivity","compatibility,mount_type,connectivity","Universal,Wall,Bluetooth","Compatibility,Mount Type,Connectivity","compatibility,mount_type,connectivity","Universal,Wall,Bluetooth","Compatibility,Mount Type,Connectivity","compatibility,mount_type,connectivity","Universal,Wall,Bluetooth","gen_spec","prod_spec","tech_spec",EVs,ev,POR-5956,365,365,65,in stock,delivery,333,32,USD,unit
EcoVolt Solutions,EV Charging Cable,Durable cable with fast charge support,This premium EV Charging Cable features high conductivity and is designed for both indoor and outdoor use. Supports CCS and Type 2 connectors.,https://example.com/items/evchargingcable.png,100,100,"Connectivity,Charging Standard,Voltage","connectivity,charging_standard,voltage","Bluetooth,CCS,220V","Connectivity,Charging Standard,Voltage","connectivity,charging_standard,voltage","Bluetooth,CCS,220V","Connectivity,Charging Standard,Voltage","connectivity,charging_standard,voltage","Bluetooth,CCS,220V","gen_spec","prod_spec","tech_spec",EVs,ev,EV -7550,389,389,62,in stock,delivery,355,34,USD,unit
EcoVolt Solutions,Smart EV Station,Wi-Fi-enabled EV charging station,"Smart EV Station comes with app-based control and real-time energy tracking. Designed for urban spaces, it ensures optimized charging with minimal power loss.",https://example.com/items/smartevstation.png,100,100,"Power Output,Warranty,Color","power_output,warranty,color","50kW,2 years,Black","Power Output,Warranty,Color","power_output,warranty,color","50kW,2 years,Black","Power Output,Warranty,Color","power_output,warranty,color","50kW,2 years,Black","gen_spec","prod_spec","tech_spec",EVs,ev,SMA-8024,219,219,70,in stock,delivery,200,19,USD,unit
EV Parts Pro,EV Dashboard Mount,Adjustable mount for phones in EVs,This universal Dashboard Mount provides strong grip and 360° rotation. Ideal for EVs with built-in navigation and display systems.,https://example.com/items/evdashboardmount.png,100,100,"Battery Type,Connectivity,Voltage","battery_type,connectivity,voltage","Lithium-ion,Bluetooth,220V","Battery Type,Connectivity,Voltage","battery_type,connectivity,voltage","Lithium-ion,Bluetooth,220V","Battery Type,Connectivity,Voltage","battery_type,connectivity,voltage","Lithium-ion,Bluetooth,220V","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,EV -1663,43,43,136,in stock,delivery,39,4,USD,unit
EV Parts Pro,Tire Inflator Pump,Digital portable tire inflator,"This Tire Inflator is compact and fits in your EV trunk. Features a digital pressure gauge, LED light, and auto shut-off feature.",https://example.com/items/tireinflatorpump.png,100,100,"Connectivity,Color,Power Output","connectivity,color,power_output","Bluetooth,Black,50kW","Connectivity,Color,Power Output","connectivity,color,power_output","Bluetooth,Black,50kW","Connectivity,Color,Power Output","connectivity,color,power_output","Bluetooth,Black,50kW","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,TIR-7489,79,79,115,in stock,delivery,72,7,USD,unit
EV Parts Pro,EV Trunk Organizer,Multi-compartment storage for EV trunks,"Organize your charging cables, tools, and groceries with this foldable EV Trunk Organizer. Built with waterproof fabric and sturdy walls.",https://example.com/items/evtrunkorganizer.png,100,100,"Color,Voltage,Mount Type","color,voltage,mount_type","Black,220V,Wall","Color,Voltage,Mount Type","color,voltage,mount_type","Black,220V,Wall","Color,Voltage,Mount Type","color,voltage,mount_type","Black,220V,Wall","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,EV -2667,26,26,129,in stock,delivery,24,2,USD,unit
EV Parts Pro,Seat Cushion Set,Comfortable memory foam cushions,"The EV Seat Cushion Set includes lumbar and seat support designed for long EV rides. Breathable, anti-slip, and ergonomic.",https://example.com/items/seatcushionset.png,100,100,"Color,Mount Type,Battery Type","color,mount_type,battery_type","Black,Wall,Lithium-ion","Color,Mount Type,Battery Type","color,mount_type,battery_type","Black,Wall,Lithium-ion","Color,Mount Type,Battery Type","color,mount_type,battery_type","Black,Wall,Lithium-ion","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,SEA-5857,139,139,145,in stock,delivery,127,12,USD,unit
Amped Accessories,EV Dashboard Mount,Adjustable mount for phones in EVs,This universal Dashboard Mount provides strong grip and 360° rotation. Ideal for EVs with built-in navigation and display systems.,https://example.com/items/evdashboardmount.png,100,100,"Charging Standard,Voltage,Compatibility","charging_standard,voltage,compatibility","CCS,220V,Universal","Charging Standard,Voltage,Compatibility","charging_standard,voltage,compatibility","CCS,220V,Universal","Charging Standard,Voltage,Compatibility","charging_standard,voltage,compatibility","CCS,220V,Universal","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,EV -9382,89,89,53,in stock,delivery,81,8,USD,unit
Amped Accessories,Tire Inflator Pump,Digital portable tire inflator,"This Tire Inflator is compact and fits in your EV trunk. Features a digital pressure gauge, LED light, and auto shut-off feature.",https://example.com/items/tireinflatorpump.png,100,100,"Mount Type,Material,Compatibility","mount_type,material,compatibility","Wall,Aluminum,Universal","Mount Type,Material,Compatibility","mount_type,material,compatibility","Wall,Aluminum,Universal","Mount Type,Material,Compatibility","mount_type,material,compatibility","Wall,Aluminum,Universal","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,TIR-2071,94,94,72,in stock,delivery,86,8,USD,unit
Amped Accessories,EV Trunk Organizer,Multi-compartment storage for EV trunks,"Organize your charging cables, tools, and groceries with this foldable EV Trunk Organizer. Built with waterproof fabric and sturdy walls.",https://example.com/items/evtrunkorganizer.png,100,100,"Material,Mount Type,Compatibility","material,mount_type,compatibility","Aluminum,Wall,Universal","Material,Mount Type,Compatibility","material,mount_type,compatibility","Aluminum,Wall,Universal","Material,Mount Type,Compatibility","material,mount_type,compatibility","Aluminum,Wall,Universal","gen_spec","prod_spec","tech_spec",EV Accessories,ev_acc,EV -6842,80,80,54,in stock,delivery,73,7,USD,unit
