country_code,DOMAIN,provider_name,provider_short_desc,provider_long_desc,provider_Logo_image_url,provider_id,provider_uri,Address,City,State,Country,zip,gps
USA,deg:retail,EV Parts Pro,EV accessories and enhancements in San Francisco,EV Parts Pro offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/evpartspro.png,ev_parts_pro_001,https://evpartspro.com,123 Market St,San Francisco,California,United States,94103,"37.7749,-122.4194"
USA,deg:retail,Amped Accessories,EV accessories and enhancements in San Francisco,Amped Accessories offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/ampedaccessories.png,amped_accessories_001,https://ampedaccessories.com,456 Mission St,San Francisco,California,United States,94103,"37.7793,-122.4192"
USA,deg:retail,GreenGear SF,EV accessories and enhancements in San Francisco,GreenGear SF offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/greengearsf.png,greengear_sf_001,https://greengearsf.com,789 Howard St,San Francisco,California,United States,94103,"37.7735,-122.4210"
USA,deg:retail,eVolt Outfitters,EV accessories and enhancements in San Francisco,eVolt Outfitters offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/evoltoutfitters.png,evolt_outfitters_001,https://evoltoutfitters.com,321 Folsom St,San Francisco,California,United States,94103,"37.7767,-122.4240"
USA,deg:retail,WattWise,EV accessories and enhancements in San Francisco,WattWise offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/wattwise.png,wattwise_001,https://wattwise.com,654 Harrison St,San Francisco,California,United States,94103,"37.7710,-122.4230"
USA,deg:retail,DriveAddons,EV accessories and enhancements in San Francisco,DriveAddons offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/driveaddons.png,driveaddons_001,https://driveaddons.com,987 Bryant St,San Francisco,California,United States,94103,"37.7786,-122.4177"
USA,deg:retail,VoltMate Store,EV accessories and enhancements in San Francisco,VoltMate Store offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/voltmatestore.png,voltmate_store_001,https://voltmatestore.com,213 2nd St,San Francisco,California,United States,94103,"37.7705,-122.4196"
USA,deg:retail,EVstyle Garage,EV accessories and enhancements in San Francisco,EVstyle Garage offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/evstylegarage.png,evstyle_garage_001,https://evstylegarage.com,546 3rd St,San Francisco,California,United States,94103,"37.7758,-122.4180"
USA,deg:retail,PluggedIn Essentials,EV accessories and enhancements in San Francisco,PluggedIn Essentials offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/pluggedinessentials.png,pluggedin_essentials_001,https://pluggedinessentials.com,879 4th St,San Francisco,California,United States,94103,"37.7740,-122.4215"
USA,deg:retail,SparkCharge Store,EV accessories and enhancements in San Francisco,SparkCharge Store offers premium ev accessories and enhancements tailored to urban mobility needs in San Francisco. Known for quality and sustainability.,https://example.com/logo/sparkchargestore.png,sparkcharge_store_001,https://sparkchargestore.com,135 5th St,San Francisco,California,United States,94103,"37.7730,-122.4200"
