Route,Resource,Strapi Status,Location,DOMAIN,Item_name,short_desc,long_desc,Logo_image_url,provider_id (Leave),max_quantity,min_quantity,tag_name,code,value,category name,category code,provider_name,provider_short_desc,provider_long_desc,provider_Logo_image_url,provider_id,provider_uri,sku,min_price,max_price,stock_quantity,stock_status,Address,City,State,Country,zip,latitude,longitude,gps,fulfillments
WY-120W,Megha,Done,,EV,Charging Station_Walden,Green Energy,Convenient Charging Point for EV,No photos available,,15,1,"Charging Station, Electric Vehicles",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EV_Charge_Dummy,Charging station for EV,Fast-charging EV stations for your vehicle,No photos available,,No website available,EV_010,20,50,10,Yes,"Walden, Colorado, United States",Walden,Colorado,USA,80480,40.73164,-106.28364,"40.73164,-106.28364",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_Laramie,Green Energy_Elk Street,Convenient Charging Point for EV,https://www.boomlive.in/h-upload/2020/12/30/937500-teslacharging.webp,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Tesla_102_Laramie,Charging station for EV,Fast-charging EV stations for your vehicle,https://etimg.etb2bimg.com/photo/100607661.cms,,https://www.evgo.com/,EV_998,20,50,5,Yes,"2550 S Douglas Hwy, Gillette, WY 82718",Gillette,Wyoming,USA,82718,,,"42.839585, -105.875514",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_Denver,Green Energy,Convenient Charging Point for EV,https://images.wsj.net/im-588678/social,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Tesla_103_Denver,Charging station for EV,Fast-charging EV stations for your vehicle,https://media.cnn.com/api/v1/images/stellar/prod/221111173314-tesla-charging-station-file-restricted-070122.jpg?c=original,,https://www.evgo.com/,EV_997,20,50,5,Yes,"501 E Pershing Ave, Riverton, WY 82501",Riverton,Wyoming,USA,82501,,,"43.035278, -108.368056",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_Fort Collins,Green Energy,Convenient Charging Point for EV,https://images.ctfassets.net/3xid768u5joa/DK6rLvbGRsqLl5LtjVLzi/6210cec1451d7f2847922bf0e6b0601f/tesla-supercharger.jpg,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Tesla_104_Fort Collins,Charging station for EV,Fast-charging EV stations for your vehicle,https://upload.wikimedia.org/wikipedia/commons/b/bd/TESLA_Supercharge_Station.webp,,https://www.evgo.com/,EV_996,20,50,5,Yes,"830 Shelton St, Chadron, NE 69337",Cheyenne,Wyoming,USA,69337,,,"42.05710703298705, -104.96270267501552",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_Tesla Denver,Green Energy,Convenient Charging Point for EV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8WSRkj4Skik9rkeIG9DUwq-j86xnX2UFjXJrFpO-c5g&s,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,Tesla_105_Denver,Charging station for EV,Fast-charging EV stations for your vehicle,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpb65ksOciikuSSjUvLyIUVZv8e6hF89f67zCoVyn5qQ&s,,https://www.evgo.com/,EV_995,20,50,5,Yes,"810 E Lakeway Rd, Gillette, WY 82718",Gillette,Wyoming,USA,82718,,,"44.661667, -105.496389",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_EVgoDenver,Green Energy,Convenient Charging Point for EV,https://media.licdn.com/dms/image/C561BAQHserlmmCQ5mg/company-background_10000/0/1611092793422/evgo_cover?e=2147483647&v=beta&t=cmA_3GRj64REM8TJbgFq13I1RNkLSIBPXu5FXpVcwgw,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EVgo Charging Station_Denver,Charging station for EV,Fast-charging EV stations for your vehicle,https://www.marshmanor.com/wp-content/uploads/2019/02/EVgo-3.png,,https://www.evgo.com/,EV_994,20,50,5,Yes,"1543 N Federal Blvd, Riverton, WY 82501",Fremont County,Wyoming,USA,82501,,,"43.192180547819156, -107.77295330495966",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_EVgoFortCollins,Green Energy,Convenient Charging Point for EV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgkHXETVNQQMUb3ZOB7vRFv7V8KmMuahXSZK60yXrwZQ&s,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EVgo Charging Station_Fort Collins1,Charging station for EV,Fast-charging EV stations for your vehicle,https://www.marshmanor.com/wp-content/uploads/2019/02/EVgo-3.png,,https://www.evgo.com/,EV_993,20,50,5,Yes,"140 Mingo Pl, Chadron, NE 69337",Wheatland,Wyoming,USA,69337,,,"42.047805, -104.956857",BATTERY CHARGING
US-20 W,Megha,Done,,EV,Charging Station_Gillete,Green Energy,Convenient Charging Point for EV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_vdXwlRK8FhKZEXS8b-RnoaPO0gi2e8wDo-aV9wNyhA&s,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EVgo Charging Station_Fort Collins2,Charging station for EV,Fast-charging EV stations for your vehicle,https://www.marshmanor.com/wp-content/uploads/2019/02/EVgo-3.png,,https://www.evgo.com/,EV_992,20,50,5,Yes,"101 Prospector Dr, Gillette, WY 82718",Gillete,Wyoming,USA,82718,,,"43.495790573799226, -108.19043373630265",BATTERY CHARGING
US-20 W,,,,EV,Charging Station_Riverton,Green Energy,Convenient Charging Point for EV,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPrO0UbMfPs_TnCrqmLHjXjYTrOW76GDs8WrDK6aeIAw&s,,10,1,"Charging Station, Electric Vehicles,",QWERTY_EV,EV_Charge,Green_EV,Charging Port,EVgo Charging Station_Denver,Charging station for EV,Fast-charging EV stations for your vehicle,https://www.marshmanor.com/wp-content/uploads/2019/02/EVgo-3.png,,https://www.evgo.com/,EV_991,20,50,5,Yes,"520 N Federal Blvd, Riverton, WY 82501",Fremont County,Wyoming,USA,82501,,,"43.192180547819156, -107.77295330495966",BATTERY CHARGING
"Route -1 : 
I-25 N",Megha,Done,,Hotel,Super Deluxe Room_Fairfield Inn & Suites,Queen Size Beds with AC,Spacious Accomodation for you and your friends,https://images.app.goo.gl/2AftiTMFE543wx5H7,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Fairfield Inn & Suites Cheyenne West/I-80,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://lh3.googleusercontent.com/p/AF1QipNAEjjPuEdilfuPH4bfEatFgO8AuDJUtPnq1a4t=w574-h384-n-k-rw-no-v1,,https://www.marriott.com/en-us/hotels/cysfi-fairfield-inn-and-suites-cheyenne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,Hot_200,99,150,20,AVAILABLE,"4880 Somers Ave, Cheyenne, WY 82009",Denver,Colorado,USA,80218,41.142278,-104.818472,"41.142278, -104.818472","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Siddharth,,,Hotel,Super Deluxe Room_Hampton Inn,Twin Beds with AC,Spacious Accomodation for you and your friends,https://images.app.goo.gl/RAn3xdNk7ze87MAs6,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Hampton Inn Cheyenne,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://images.app.goo.gl/aJv6xDLvYZqjr5FT9,,https://www.trivago.in/en-IN/oar/hotel-hampton-inn-cheyenne?search=100-56844,Hot_201,99,150,20,Yes,"4700 Grandview Ave, Cheyenne, WY 82001",Fort Collins,Colorado,USA,82001,41.144444,-104.811111,"41.144444, -104.811111","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Siddharth,,,Hotel,Super Deluxe Room_Holiday Inn,Queen Size Beds with AC,Spacious Accomodation for you and your friends,https://www.hilton.com/im/en/CYSNDRU/4818140/cysnd-exterior-02.jpg?impolicy=crop&cw=5376&ch=3010&gravity=NorthWest&xposition=312&yposition=495&rw=768&rh=430,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,"Holiday Inn Express & Suites Gillette, an IHG Hotel",Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://images.app.goo.gl/pfkNDm2ZNwgMVzr5A,,https://www.ihg.com/holidayinnexpress/hotels/us/en/gillette/gccwy/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-GCCWY,Hot_202,99,150,20,Yes,"2480 S Douglas Hwy, Gillette, WY 82718",Gillette,Wyoming,USA,82718,39.93487085,-104.9990754,"39.93487085216597, -104.99907540550606","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Siddharth,,,Hotel,Super Deluxe Room_Candlewood Suites,Twin Beds with AC,Spacious Accomodation for you and your friends,https://cdn.worldota.net/t/1024x768/content/51/03/510322f0891d00408e0a8d8230c671b47dd28ad7.jpeg,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Candlewood Suites Cheyenne,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://cdn.worldota.net/t/828x560/content/7e/95/7e956363b96748fcd98611e38001d4d4467f791d.jpeg,,https://www.ihg.com/candlewood/hotels/us/en/cheyenne/cysww/hoteldetail?cm_mmc=GoogleMaps-_-CW-_-US-_-CYSWW,Hot_203,99,150,20,Yes,"4319 Greenway St, Cheyenne, WY 82001",Cheyenne,Wyoming,USA,82001,41.139981,-104.820246,"41.139981, -104.820246","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Siddharth,,,Hotel,Super Deluxe Room_Tru,Queen Size Beds with AC,Spacious Accomodation for you and your friends,https://www.hilton.com/im/en/CYSNDRU/4818130/cysnd-exterior-01.jpg?impolicy=crop&cw=5376&ch=3010&gravity=NorthWest&xposition=312&yposition=495&rw=768&rh=430,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Tru by Hilton Cheyenne,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://www.hilton.com/im/en/CYSNDRU/4818130/cysnd-exterior-01.jpg?impolicy=crop&cw=5376&ch=3010&gravity=NorthWest&xposition=312&yposition=495&rw=768&rh=430,,https://www.hilton.com/en/hotels/cysndru-tru-cheyenne/,Hot_204,99,150,20,Yes,"1780 Cowpoke Rd, Cheyenne, WY 82009",Cheyenne,Wyoming,USA,82009,41.14129344,-104.820246,"41.141293437707944, -104.83977354310169","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Siddharth,,,Hotel,Super Deluxe Room_La Quinta Inn,Twin Beds with AC,Spacious Accomodation for you and your friends,https://maps.app.goo.gl/vPah7UNUqWVVH6bx7,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,La Quinta Inn & Suites by Wyndham Cheyenne,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://maps.app.goo.gl/ZPd6bGVUQERw7MFB8,,https://www.wyndhamhotels.com/,Hot_205,99,150,20,Yes,"4360 Terry Ranch Rd, Cheyenne, WY 82007",Cheyenne,Wyoming,USA,82007,42.08381756,-104.796111,"42.08381756295032, -104.97710263211312","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Meenakshi,,,Hotel,Super Deluxe Room_Comfort Inn ,Queen Size Beds with AC,Spacious Accomodation for you and your friends,https://www.choicehotels.com/hotelmedia/US/WY/gillette/WY053/1280/WY053Exterior2_2.webp,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Comfort Inn & Suites Gillette,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://www.choicehotels.com/hotelmedia/US/WY/gillette/WY053/1280/WY053NQQ1_2.webp,,https://www.choicehotels.com/wyoming/gillette/comfort-inn-hotels/wy053?mc=llgoxxpx,Hot_206,99,150,20,Yes,"2085 N Garner Lake Rd, Gillette, WY 82718",Gillette,Wyoming,USA,82718,42.50234132,-105.511944,"42.50234132190689, -105.02379452492163","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Meenakshi,,,Hotel,Super Deluxe Room_Hampton Inn,Twin Beds with AC,Spacious Accomodation for you and your friends,https://www.hilton.com/im/en/GILWYHX/2884890/hampton-inn-by-hilton-gillette-exterior-1157702.jpg?impolicy=crop&cw=6016&ch=3368&gravity=NorthWest&xposition=0&yposition=323&rw=768&rh=430,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Hampton Inn & Suites Gillette,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://www.hilton.com/im/en/GILWYHX/2878577/hampton-inn-by-hilton-gillette-2-queen-beds-1157352.jpg?impolicy=crop&cw=6016&ch=3368&gravity=NorthWest&xposition=0&yposition=323&rw=768&rh=430,,hilton.com,Hot_207,99,150,20,Yes,"211 Gillette Ridge Rd, Gillette, WY 82718",Gillette,Wyoming,USA,82718,44.653333,-105.500556,"44.653333, -105.500556","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Meenakshi,,,Hotel,Super Deluxe Room_Wingate ,Queen Size Beds with AC,Spacious Accomodation for you and your friends,"https://www.wyndhamhotels.com/content/dam/property-images/en-us/wg/us/wy/gillette/13095/13095_exterior_day_1.jpg?crop=3000:2000;*,*&downsize=1800:*",,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Wingate by Wyndham Gillette,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.","https://www.wyndhamhotels.com/content/dam/property-images/en-us/wg/us/wy/gillette/13095/13095_guest_room_2.jpg?crop=3000:2000;*,*&downsize=1800:*",,https://www.wyndhamhotels.com/,Hot_208,99,150,20,Yes,"1801 Cliff Davis Dr, Gillette, WY 82718",Gillette,Wyoming,USA,82718,43.49464085,-105.502778,"43.494640852935525, -108.15764459944454","CHECK-IN, CHECK-OUT"
"Route -1 : 
I-25 N",Meenakshi,,,Hotel,Super Deluxe Room_Ramkota,Twin Beds with AC,Spacious Accomodation for you and your friends,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/53/85/44/ramkota-hotel-conference.jpg?w=1400&h=-1&s=1,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Ramkota by Wyndham Casper,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://s3.amazonaws.com/com-ramkotacasper-cdn/general/content-images/galleries/_pageContentEnlarged/CWBW19-5791b.jpg?mtime=20191022111651,,https://ramkotacasper.com/,Hot_209,99,150,20,Yes,"300 Cyrus Ave, Casper, WY 82601",Casper,Wyoming,USA,82601,42.844444,-106.323056,"42.844444, -106.323056","CHECK-IN, CHECK-OUT"
WY-120W,Megha,Done,,Hotel,Super Deluxe Room,Twin Beds with AC,Spacious Accomodation for you and your friends,https://lh5.googleusercontent.com/p/AF1QipPhDc2c8VKdjFRW-9bL15PMVc3nT22EKGtG91Kh=w426-h240-k-no,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,La Quinta Inn by Wyndham Denver Westminster,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.","https://images.getaroom-cdn.com/image/upload/s--JvHK7Ee---/c_limit,e_improve,fl_lossy.immutable_cache,h_940,q_auto:good,w_940/v1665907063/12ca73816a98500716b6d65ba90fc20c16fae765?atc=e7cd1cfa",,https://www.guestreservations.com/la-quinta-inn-denver-westminster/booking?gad_source=1&gclid=Cj0KCQjwq86wBhDiARIsAJhuphn9moapqw4rHAneOr1HffNtZYx5nkLxuDXmKZEs_Z0KKoJEdjdpOw8aArl4EALw_wcB,Hot_001,99,150,20,Yes,"8701 Turnpike Dr, Westminster, CO 80031, United States",Westminster,Colorado,USA,80031,39.852999,-105.0517875,"39.852999,-105.0517875","CHECK-IN, CHECK-OUT"
WY-120W,Megha,Done,,Hotel,Super Deluxe Room_Kiva Inn,Twin Beds with AC,Spacious Accomodation for you and your friends,https://lh5.googleusercontent.com/p/AF1QipMwjMCd-6fSY3xLRq6hnda-E__bHmY9r1MgePCI=w408-h272-k-no,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Best Western Kiva Inn,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://media.iceportal.com/45609/photos/63862905_XXL.jpg,,https://www.bestwestern.com/en_US/book/fort-collins/hotel-rooms/best-western-kiva-inn/propertyCode.06156.html,Hot_002,99,150,20,Yes,"1638 E Mulberry St, Fort Collins, CO 80524, United States",Fort Collins,Colorado,USA,80542,40.5817295,-105.0469887,"40.5817295,-105.0469887","CHECK-IN, CHECK-OUT"
WY-120W,Megha,Done,,Hotel,Super Deluxe Room_Viking Lodge,Twin Beds with AC,Spacious Accomodation for you and your friends,https://lh3.googleusercontent.com/p/AF1QipMnAqCYIP0Kftld2otul-XJjDe0Mig4VJk5jQy9=s1360-w1360-h1020,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,"The Viking Lodge - Downtown Winter Park, Colorado",Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://lh3.googleusercontent.com/p/AF1QipPnaOveDAv_aRXe3gCCapOJJmAKJSSa_8lAems0=s1360-w1360-h1020,,https://www.skiwp.com/,Hot_003,99,150,20,Yes,"78966 US-40, Winter Park, CO 80482, United States",Winter Park,Colorado,USA,80482,39.9170931,-105.8251362,"39.9170931,-105.8251362","CHECK-IN, CHECK-OUT"
WY-120W,Megha,Done,,Hotel,Super Deluxe Room_Alpenglo Lodge,Twin Beds with AC,Spacious Accomodation for you and your friends,https://lh3.googleusercontent.com/p/AF1QipPg3ENvy-aZdMIZKn1cPZJgiC0ij6dpSro9Cuyv=s1360-w1360-h1020,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Best Western Alpenglo Lodge,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://lh5.googleusercontent.com/p/AF1QipNXaTy-_iL-qXqYM9xh1kNGkDeL5UuVttP6W4iw=w408-h272-k-no,,https://www.wplodging.com/,Hot_004,99,150,20,Yes,"78665 US-40, Winter Park, CO 80482, United States",Winter Park,Colorado,USA,80482,39.9170931,-105.8251362,"39.9170931,-105.8251362","CHECK-IN, CHECK-OUT"
WY-120W,Megha,Done,,Hotel,Super Deluxe Room_Winter Park,Twin Beds with AC,Spacious Accomodation for you and your friends,https://lh3.googleusercontent.com/p/AF1QipOUPGCWxCxwGWva_3OnPXc0ZOxSasMn2IN30IhP=s1360-w1360-h1020,,5,1,"Hotels, Accomodation, Luxurious Room",ABC_Hotel,Deluxe_Room,Deluxe_Room,Luxury Rooms,Winter Park Chateau,Bed and Breakfast,"A luxurious hotel, offering exceptional amenities and service.",https://lh5.googleusercontent.com/p/AF1QipNdS8NMPRlrZlcg17BNzP1uZ162RMGoE5IdEtot=w408-h272-k-no,,https://www.winterparkchateau.com/,Hot_005,99,150,20,Yes,"405 Lions Gate Dr, Winter Park, CO 80482, United States",Winter Park,Colorado,USA,80482,39.9200604,-105.8025035,"39.9200604,-105.8025035","CHECK-IN, CHECK-OUT"
